link,measure,object
http://www.amazon.com/-GLANCE-Appointment-Academic-2015-June-70-957G-05/dp/B00UCDCH10,11.4 x 0.5 x 8.9 inches,appointment
http://www.amazon.com/-GLANCE-Appointment-Academic-2015-June-601-905A/dp/B00UCF9YAU,11.2 x 0.6 x 9.1 inches,appointment
http://www.amazon.com/-line-ACT-Water-resistant-Fuse-Holder/dp/B0002KR88A,5 x 4.1 x 0.3 inches,fuse
http://www.amazon.com/0-03T-66-1Lbs-Metal-Lifting-Pulley/dp/B00JR3OOR6,8 x 6.5 x 1 inches,pulley
http://www.amazon.com/1-Pk-Red-Rapid-Ramen-Cooker/dp/B00H8BFGPI,7 x 2 x 5 inches,college
http://www.amazon.com/1byone-Driveway-Infrared-Wireless-Security/dp/B00JR2V0SS,5.6 x 4.8 x 4.3 inches,driveway
http://www.amazon.com/1byone-O00QH-0514-Auto-learning-Indicator-Weatherproof/dp/B00RCW8QS2,3 x 3 x 2 inches,driveway
http://www.amazon.com/Driveway-Lifetime-Warranty-Professional-Wireless/dp/B00HFZUKGM,5.5 x 4 x 5.5 inches,driveway
http://www.amazon.com/Driveways-Paths-Patios-Management-Construction/dp/1861267789,7.6 x 0.7 x 9.8 inches,driveway
http://www.amazon.com/Drug-Information-Handbook-Clinically-Professionals/dp/1591953421,9 x 6.1 x 2.2 inches,handbook
http://www.amazon.com/DU-BRO-Fishing-Clips-Halyards-Outriggers/dp/B0000BYMWC,1 x 3 x 5 inches,halyard
http://www.amazon.com/DuaFire-Microphone-Suspension-Scissor-Stand/dp/B00M3M4SGA,16.5 x 4.7 x 2.1 inches,arm
http://www.amazon.com/Dual-DPA250-Watts-Channel-Amplifier/dp/B009AVIKQQ,12.4 x 8 x 2.8 inches,amplifier
http://www.amazon.com/Dual-Garage-Laser-Parking-Maxsa/dp/B00290WLCY,8.4 x 7.8 x 1.8 inches,garage
http://www.amazon.com/Duck-281506-10-Window-Insulator-420-Inch/dp/B002GKC2GW,14 x 2 x 9.2 inches,window
http://www.amazon.com/Duck-281757-Flying-Printed-Inches/dp/B00AVYC71K,3.8 x 1.9 x 3.8 inches,pig
http://www.amazon.com/Duck-1286294-Conditioner-Insulating-18-Inch/dp/B002GKC2WQ,18 x 9.5 x 1.5 inches,panel
http://www.amazon.com/Duck-Invisible-Acetate-Dispenser-1302209/dp/B000NHZ3IY,4.8 x 2.1 x 3.1 inches,tape
http://www.amazon.com/Duke-Company-0310-Spring-Animal/dp/B0009JQV00,5 x 5 x 1 inches,trap
http://www.amazon.com/Dundas-Jafine-BTD48TC-ProFlex-Transition/dp/B0015UGPWQ,4.9 x 4.8 x 4.4 inches,dryer
http://www.amazon.com/Dundas-Jafine-TDIDVKZW-ProFlex-Indoor/dp/B000DZFTC6,6.8 x 6.8 x 7.2 inches,dryer
http://www.amazon.com/Dundas-Jafine-TDIDVKZW-ProFlex-Indoor/dp/B000DZFTC6,6.8 x 6.8 x 7.2 inches,vent
http://www.amazon.com/Dundas-Jafine-TDIDVKZW-ProFlex-Indoor/dp/B000DZFTC6,6.8 x 6.8 x 7.2 inches,dryer
http://www.amazon.com/Dundas-Jafine-TDIDVKZW-ProFlex-Indoor/dp/B000DZFTC6,6.8 x 6.8 x 7.2 inches,vent
http://www.amazon.com/DuPont-TY122S-Disposable-Elastic-Coverall/dp/B00WIUC4V8,6.8 x 6 x 2 inches,coverall
http://www.amazon.com/Dura-International-29510030-Front-Bearing/dp/B00LFL75I8,3.2 x 3.2 x 2 inches,bearing
http://www.amazon.com/Duracell-Procell-Volt-Batteries-Pack/dp/B002UGVWA4,4 x 5 x 6 inches,battery
http://www.amazon.com/Duraflo-620808-Gable-Vent-8-Inch/dp/B004Y75SUC,10.9 x 1 x 10.1 inches,vent
http://www.amazon.com/Duro-Med-Adjustable-Folding-Handle-Rubber/dp/B000CSSE0I,0.8 x 0.8 x 37 inches,cane
http://www.amazon.com/Duro-Med-Adjustable-Folding-Handle-Rubber/dp/B0009STMYS,37 x 0.8 x 2 inches,cane
http://www.amazon.com/Duro-Med-Autoclavable-Emesis-Basin-Blue/dp/B000FHCGFA,10.3 x 5.5 x 2.1 inches,basin
http://www.amazon.com/Duro-Med-Relax--Support-Cushion-Properly/dp/B000HLW15E,1.2 x 1.2 x 2.7 inches,cushion
http://www.amazon.com/Duro-Med-Waterproof-Protector-Adult-inches/dp/B000FHDV68,15.8 x 8.8 x 24.8 inches,leg
http://www.amazon.com/DuroMax-Splitter-Power-Engine-Motor/dp/B004LTT80E,17.3 x 16.7 x 17.1 inches,engine
http://www.amazon.com/Durston-Manufacturing-MPWT-Magnetic-Plug/dp/B000VHZHBO,8.5 x 5.5 x 1.4 inches,weld
http://www.amazon.com/Dust-Silo-Saga-Hugh-Howey/dp/1490904387,6 x 1.2 x 9 inches,wool
